year,winner,jockey,trainer,owner,distance,track_condition,time_string,time_sec,triple_crown_winner,Year_winner,Owner,Earnings,Earnings_2022
2022.0,Rich Strike,Sonny Leon,Eric Reed,RED TR-Racing,1.25,Fast,02:02.6,122.61,False,,,,
2021.0,Mandaloun,Florent Geroux,Brad H. Cox,Juddmonte Farm,1.25,Fast,02:01.0,121.02,False,,,,
2020.0,Authentic,John Velazquez,Bob Baffert,"Spendthrift Farm LLC, MyRaceHorse Stable, Madaket Stables LLC, Starlight Racing",1.25,Fast,02:00.6,120.61,False,,,,
2019.0,Country House,Flavien Prat,Bill Mott,"Mrs. J.V. Shields Jr., E. J. M. McFadden Jr. and LNJ Foxwoods",1.25,Sloppy,02:03.9,123.93,False,,,,
2018.0,Justify,Mike E. Smith,Bob Baffert,"China Horse Club, Head of Plains Partners, Starlight Racing, WinStar Farm",1.25,Sloppy,02:04.2,124.2,True,,,,
2017.0,Always Dreaming,John Velazquez,Todd Pletcher,"MeB Racing, Brooklyn Boyz, Teresa Viola, St. Elias, Siena Farm, West Point",1.25,Wet Fast (sealed),02:03.6,123.59,False,,,,
2016.0,Nyquist,Mario Gutierrez,Doug O'Neill,J. Paul Reddam,1.25,Fast,02:01.3,121.31,False,,,,
2015.0,American Pharoah,Victor Espinoza,Bob Baffert,"Zayat Stables, LLC",1.25,Fast,02:03.0,123.02,True,,,,
2014.0,California Chrome,Victor Espinoza,Art Sherman,Steve Coburn & Perry Martin,1.25,Fast,02:03.7,123.66,False,,,,
2013.0,Orb,Joel Rosario,Claude McGaughey III,Stuart S. Janney III & Phipps Stable,1.25,Sloppy,02:02.9,122.89,False,,,,
2012.0,I'll Have Another,Mario Gutierrez,Doug O'Neill,J. Paul Reddam,1.25,Fast,02:01.8,121.83,False,,,,
2011.0,Animal Kingdom,John Velazquez,H. Graham Motion,Team Valor International,1.25,Fast,02:02.0,122.04,False,,,,
2010.0,Super Saver,Calvin Borel,Todd Pletcher,WinStar Farm,1.25,Sloppy,02:04.5,124.45,False,,,,
2009.0,Mine That Bird,Calvin Borel,Bennie L. Woolley Jr.,Double Eagle Ranch et al.,1.25,Sloppy,02:02.7,122.66,False,,,,
2008.0,Big Brown,Kent Desormeaux,Richard E. Dutrow Jr.,IEAH Stables / P. Pompa,1.25,Fast,02:01.8,121.82,False,,,,
2007.0,Street Sense,Calvin Borel,Carl Nafzger,James B. Tafel,1.25,Fast,02:02.2,122.17,False,,,,
2006.0,Barbaro,Edgar Prado,Michael R. Matz,Lael Stables,1.25,Fast,02:01.4,121.36,False,,,,
2005.0,Giacomo,Mike E. Smith,John Shirreffs,Jerry & Ann Moss,1.25,Fast,02:02.8,122.75,False,,,,
2004.0,Smarty Jones,Stewart Elliott,John Servis,Someday Farm,1.25,Sloppy,02:04.1,124.06,False,,,,
2003.0,Funny Cide,José A. Santos,Barclay Tagg,Sackatoga Stable,1.25,Fast,02:01.2,121.19,False,,,,
2002.0,War Emblem,Victor Espinoza,Bob Baffert,Thoroughbred Corp.,1.25,Fast,02:01.1,121.13,False,,,,
2001.0,Monarchos,Jorge F. Chavez,John T. Ward Jr.,John C. Oxley,1.25,Fast,02:00.0,119.97,False,,,,
2000.0,Fusaichi Pegasus,Kent Desormeaux,Neil Drysdale,Fusao Sekiguchi,1.25,Fast,02:01.0,121.0,False,,,,
1999.0,Charismatic,Chris Antley,D. Wayne Lukas,Bob & Beverly Lewis,1.25,Fast,02:03.2,123.2,False,,,,
1998.0,Real Quiet,Kent Desormeaux,Bob Baffert,Michael E. Pegram,1.25,Fast,02:02.2,122.2,False,,,,
1997.0,Silver Charm,Gary Stevens,Bob Baffert,Bob & Beverly Lewis,1.25,Fast,02:02.4,122.4,False,,,,
1996.0,Grindstone,Jerry Bailey,D. Wayne Lukas,Overbrook Farm,1.25,Fast,02:01.0,121.0,False,,,,
1995.0,Thunder Gulch,Gary Stevens,D. Wayne Lukas,Michael Tabor,1.25,Fast,02:01.2,121.2,False,,,,
1994.0,Go for Gin,Chris McCarron,Nick Zito,William J. Condren & Joseph M. Cornacchia,1.25,Sloppy,02:03.6,123.6,False,,,,
1993.0,Sea Hero,Jerry Bailey,MacKenzie Miller,Rokeby Stables,1.25,Fast,02:02.4,122.4,False,,,,
1992.0,Lil E. Tee,Pat Day,Lynn S. Whiting,W. Cal Partee,1.25,Fast,02:03.0,123.0,False,,,,
1991.0,Strike the Gold,Chris Antley,Nick Zito,BCC Stable,1.25,Fast,02:03.0,123.0,False,,,,
1990.0,Unbridled,Craig Perret,Carl Nafzger,Frances A. Genter,1.25,Good,02:02.0,122.0,False,,,,
1989.0,Sunday Silence,Pat Valenzuela,Charlie Whittingham,H-G-W Partners,1.25,Muddy,02:05.0,125.0,False,,,,
1988.0,Winning Colors,Gary Stevens,D. Wayne Lukas,Eugene V. Klein,1.25,Fast,02:02.2,122.2,False,,,,
1987.0,Alysheba,Chris McCarron,Jack Van Berg,D. & P. Scharbauer,1.25,Fast,02:03.4,123.4,False,,,,
