,Year,winner,jockey,trainer,owner,distance,Track Condition,Time,triple_crown_winner,Earnings
1,2021,Mandaloun,Florent Geroux,Brad H. Cox,Juddmonte Farm,1.25,Fast,02:01.0,No,"$2,041,252 "
2,2020,Authentic,John Velazquez,Bob Baffert,"Spendthrift Farm LLC, MyRaceHorse Stable, Madaket Stables LLC, Starlight Racing",1.25,Fast,02:00.6,No,"$7,201,200 "
3,2019,Country House,Flavien Prat,Bill Mott,"Mrs. J.V. Shields Jr., E. J. M. McFadden Jr. and LNJ Foxwoods",1.25,Sloppy,02:03.9,No,"$2,120,175 "
4,2018,Justify,Mike E. Smith,Bob Baffert,"China Horse Club, Head of Plains Partners, Starlight Racing, WinStar Farm",1.25,Sloppy,02:04.2,Yes,"$3,798,000 "
5,2017,Always Dreaming,John Velazquez,Todd Pletcher,"MeB Racing, Brooklyn Boyz, Teresa Viola, St. Elias, Siena Farm, West Point",1.25,Wet Fast (sealed),02:03.6,No,"$2,415,860 "
6,2016,Nyquist,Mario Gutierrez,Doug O'Neill,J. Paul Reddam,1.25,Fast,02:01.3,No,"$5,189,200 "
7,2015,American Pharoah,Victor Espinoza,Bob Baffert,"Zayat Stables, LLC",1.25,Fast,02:03.0,Yes,"$8,650,300 "
8,2014,California Chrome,Victor Espinoza,Art Sherman,Steve Coburn & Perry Martin,1.25,Fast,02:03.7,No,"$14,752,650 "
9,2013,Orb,Joel Rosario,Claude McGaughey III,Stuart S. Janney III & Phipps Stable,1.25,Sloppy,02:02.9,No,"$2,612,516 "
10,2012,I'll Have Another,Mario Gutierrez,Doug O'Neill,J. Paul Reddam,1.25,Fast,02:01.8,No,"$2,693,600 "
11,2011,Animal Kingdom,John Velazquez,H. Graham Motion,Team Valor International,1.25,Fast,02:02.0,No,"$8,387,500 "
12,2010,Super Saver,Calvin Borel,Todd Pletcher,WinStar Farm,1.25,Sloppy,02:04.5,No,"$1,889,766 "
13,2009,Mine That Bird,Calvin Borel,Bennie L. Woolley Jr.,Double Eagle Ranch et al.,1.25,Sloppy,02:02.7,No,"$2,228,637 "
14,2008,Big Brown,Kent Desormeaux,Richard E. Dutrow Jr.,IEAH Stables / P. Pompa,1.25,Fast,02:01.8,No,"$3,614,500 "
15,2007,Street Sense,Calvin Borel,Carl Nafzger,James B. Tafel,1.25,Fast,02:02.2,No,"$4,383,200 "
16,2006,Barbaro,Edgar Prado,Michael R. Matz,Lael Stables,1.25,Fast,02:01.4,No,"$2,302,200 "
17,2005,Giacomo,Mike E. Smith,John Shirreffs,Jerry & Ann Moss,1.25,Fast,02:02.8,No,"$2,537,316 "
18,2004,Smarty Jones,Stewart Elliott,John Servis,Someday Farm,1.25,Sloppy,02:04.1,No,"$7,613,155 "
19,2003,Funny Cide,José A. Santos,Barclay Tagg,Sackatoga Stable,1.25,Fast,02:01.2,No,"$3,529,412 "
20,2002,War Emblem,Victor Espinoza,Bob Baffert,Thoroughbred Corp.,1.25,Fast,02:01.1,No,"$3,491,000 "
21,2001,Monarchos,Jorge F. Chavez,John T. Ward Jr.,John C. Oxley,1.25,Fast,02:00.0,No,"$1,720,830 "
22,2000,Fusaichi Pegasus,Kent Desormeaux,Neil Drysdale,Fusao Sekiguchi,1.25,Fast,02:01.0,No,"$1,994,400 "
23,1999,Charismatic,Chris Antley,D. Wayne Lukas,Bob & Beverly Lewis,1.25,Fast,02:03.2,No,"$2,038,064 "
24,1998,Real Quiet,Kent Desormeaux,Bob Baffert,Michael E. Pegram,1.25,Fast,02:02.2,No,"$3,271,802 "
25,1997,Silver Charm,Gary Stevens,Bob Baffert,Bob & Beverly Lewis,1.25,Fast,02:02.4,No,"$6,944,369 "
26,1996,Grindstone,Jerry Bailey,D. Wayne Lukas,Overbrook Farm,1.25,Fast,02:01.0,No,"$1,224,510 "
27,1995,Thunder Gulch,Gary Stevens,D. Wayne Lukas,Michael Tabor,1.25,Fast,02:01.2,No,"$2,915,086 "
28,1994,Go for Gin,Chris McCarron,Nick Zito,William J. Condren & Joseph M. Cornacchia,1.25,Sloppy,02:03.6,No,"$1,380,866 "
29,1993,Sea Hero,Jerry Bailey,MacKenzie Miller,Rokeby Stables,1.25,Fast,02:02.4,No,"$2,929,869 "
30,1992,Lil E. Tee,Pat Day,Lynn S. Whiting,W. Cal Partee,1.25,Fast,02:03.0,No,"$1,437,506 "
31,1991,Strike the Gold,Chris Antley,Nick Zito,BCC Stable,1.25,Fast,02:03.0,No,"$3,457,026 "
32,1990,Unbridled,Craig Perret,Carl Nafzger,Frances A. Genter,1.25,Good,02:02.0,No,"$4,489,475 "
33,1989,Sunday Silence,Pat Valenzuela,Charlie Whittingham,H-G-W Partners,1.25,Muddy,02:05.0,No,"$4,968,554 "
34,1988,Winning Colors,Gary Stevens,D. Wayne Lukas,Eugene V. Klein,1.25,Fast,02:02.2,No,"$1,526,837 "
